"tconst","title","FirstGenre","genres","titleType","runtimeMinutes","isAdult","averageRating","numVotes","directors","primaryName","birthYear","deathYear","primaryProfession"
"tt6690176","La belle et la belle","Comedy","Comedy,Drama,Sci-Fi","movie","95","0",5.5,438,"nm0277230","Sophie Fillières","1964","2023","writer,director,actress"
"tt9013488","Le soutien-gorge","Comedy","Comedy,Short","video","14","0",7.3,9,"nm0278705","Laurent Firode","1963",NA,"director,writer,editor"
"tt8679948","Painting with Light: Nicholas von Sternberg on Josef von Sternberg","Documentary","Documentary,Short","short","17","0",7,8,"nm0279103","Robert Fischer","1954",NA,"producer,editor,director"
"tt8354006","Christmas Camp","Drama","Drama,Family,Romance","tvMovie","81","0",5.7,794,"nm0279567","Jeff Fisher","1968",NA,"producer,director,writer"
"tt2825596","Pretenders","Drama","Drama","movie","95","0",4.9,658,"nm0290556","James Franco","1978",NA,"actor,producer,director"
"tt7914554","Pilot","Drama","Drama,Mystery,Sci-Fi","tvEpisode","42","0",7.9,3594,"nm0291205","David Frankel","1959",NA,"production_manager,producer,director"
"tt7526492","Rezo","Animation","Animation,Biography,Comedy","movie","62","0",8,291,"nm0300174","Levan Gabriadze","1969",NA,"director,actor,camera_department"
"tt8294204","A Dangerous Son","Documentary","Documentary","tvMovie","86","0",6.7,798,"nm0305017","Liz Garbus","1970",NA,"producer,director,writer"
"tt9121906","The Dead Room","Horror","Horror","tvMovie","30","0",5.8,458,"nm0309693","Mark Gatiss","1966",NA,"actor,writer,producer"
"tt8621562","Die bauliche Maßnahme","Documentary","Documentary","movie","112","0",7.1,257,"nm0315430","Nikolaus Geyrhalter","1972",NA,"producer,director,cinematographer"
"tt8961056","Monster Challenge","Comedy","Comedy,Short","short","13","0",6.8,95,"nm0315974","Michael Giacchino","1967",NA,"composer,soundtrack,music_department"
"tt8852046","The Meeting","Drama","Drama","movie","96","0",7.7,25,"nm0319690","Alan Gilsenan","1962",NA,"director,writer,cinematographer"
"tt10505424","Ne chuzhie","Drama","Drama","movie","78","0",5.9,21,"nm0321687","Vera Glagoleva","1956","2017","actress,director,producer"
"tt8623162","Afraid","Horror","Horror,Thriller","movie","80","0",3.3,154,"nm0325229","Jason Goldberg","1972",NA,"producer,writer,executive"
"tt8524318","Laces","Drama","Drama","movie","98","0",7.3,182,"nm0326397","Jacob Goldwasser","1950",NA,"director,actor,producer"
"tt8480982","The Motorbike aka Motorut","Drama","Drama,Romance","movie","83","0",5.9,20,"nm0331477","Valentin Goshev","1963","2022","actor,director,writer"
"tt8084936","Phattom Thread","Comedy","Comedy,Short","short","5","0",7,6,"nm0338831","Kim Morgan Greene","1958",NA,"actress,producer,director"
"tt7883774","Kalte Füße","Comedy","Comedy","movie","97","0",6.2,1210,"nm0343185","Wolfgang Groos","1968",NA,"director,assistant_director,actor"
"tt6255004","A Simple Story","Action","Action,Adventure,Drama","tvEpisode","46","0",7.4,4288,"nm0343898","Daniel Grou","1967",NA,"director,producer,art_director"
"tt6852872","Elizabeth Harvest","Horror","Horror,Sci-Fi,Thriller","movie","108","0",5.8,9418,"nm0349406","Sebastian Gutierrez","1974",NA,"writer,director,producer"
"tt8785408","Içimdeki Hazine","Action","Action,Adventure,Thriller","movie","105","0",5.3,16,"nm0351651","Hakan Gürtop","1964",NA,"cinematographer,director,camera_department"
"tt8211570","De Natura","Mystery","Mystery,Short","short","6","0",6.2,63,"nm0352968","Lucile Hadzihalilovic","1961",NA,"writer,director,editor"
"tt8487140","Kissing","Comedy","Comedy,Short","short","3","0",7.1,19,"nm0353870","Alexander Hahn","1967",NA,"producer,director,writer"
"tt8669354","Throwback Holiday","Comedy","Comedy,Drama,Family","movie","88","0",6.1,472,"nm0355126","Trey Haley","1975",NA,"director,producer,editor"
